bucket,size
2566,0
2567,2
2568,2
2569,9
2570,7
2571,0
2572,1
2573,2
2574,5
2575,3
2576,3
2577,3
2578,3
2579,4
2580,4
2581,3
2582,4
2583,3
2584,2
2585,5
2586,4
2587,4
2588,0
2589,2
2590,8
2591,1
2592,0
2593,5
2594,3
2595,2
2596,3
2597,1
2598,9
2599,2
2600,0
2601,2
2602,1
2603,1
2604,3
2605,2
2606,0
2607,2
2608,3
2609,2
2610,0
2611,4
2612,4
2613,1
2614,3
2615,4
2616,1
2617,3
2618,5
2619,6
2620,2
2621,2
2622,5
2623,1
2624,3
2625,2
2626,0
2627,6
2628,2
2629,1
2630,2
2631,2
2632,6
2633,5
2634,6
2635,2
2636,2
2637,6
2638,5
2639,1
2640,0
2641,2
2642,0
2643,8
2644,2
2645,4
2646,4
2647,3
2648,2
2649,2
2650,4
2651,3
2652,1
2653,5
2654,3
2655,4
2656,6
2657,4
2658,2
2659,2
2660,7
2661,5
2662,6
2663,2
2664,1
2665,0
2666,4
2667,5
2668,4
2669,2
2670,5
2671,0
2672,2
2673,4
2674,5
2675,4
2676,3
2677,8
2678,8
2679,4
2680,3
2681,4
2682,4
2683,1
2684,2
2685,7
2686,4
2687,0
2688,5
2689,3
2690,4
2691,2
2692,2
2693,2
2694,5
2695,1
2696,4
2697,2
2698,8
2699,4
2700,1
2701,3
2702,3
2703,0
2704,2
2705,2
2706,2
2707,3
2708,5
2709,6
2710,3
2711,4
2712,3
2713,1
2714,5
2715,1
2716,1
2717,1
2718,5
2719,4
2720,2
2721,5
2722,3
2723,1
2724,2
2725,3
2726,2
2727,5
2728,2
2729,5
2730,3
2731,3
2732,9
2733,2
2734,3
2735,3
2736,2
2737,4
2738,5
2739,2
2740,3
2741,0
2742,1
2743,3
2744,0
2745,3
2746,3
2747,1
2748,5
2749,5
2750,6
2751,4
2752,3
2753,5
2754,2
2755,1
2756,5
2757,3
2758,4
2759,3
2760,5
2761,3
2762,7
2763,5
2764,6
2765,1
2766,6
2767,2
2768,4
2769,4
2770,1
2771,5
2772,1
2773,3
2774,2
2775,3
2776,3
2777,3
2778,3
2779,3
2780,3
2781,3
2782,7
2783,2
2784,5
2785,9
2786,2
2787,4
2788,2
2789,3
2790,5
2791,0
2792,3
2793,7
2794,8
2795,3
2796,1
2797,1
2798,3
2799,5
2800,5
2801,7
2802,4
2803,5
2804,2
2805,5
2806,3
2807,2
2808,4
2809,3
2810,2
2811,3
2812,3
2813,6
2814,4
2815,4
2816,0
2817,1
2818,0
2819,1
2820,2
2821,3
2822,3
2823,2
2824,1
2825,2
2826,1
2827,3
2828,2
2829,1
2830,4
2831,4
2832,1
2833,4
2834,2
2835,3
2836,1
2837,2
2838,0
2839,1
2840,0
2841,1
2842,1
2843,2
2844,2
2845,2
2846,2
2847,2
2848,4
2849,2
2850,0
2851,2
2852,2
2853,1
2854,2
2855,1
2856,2
2857,2
2858,2
2859,1
2860,1
2861,2
2862,3
2863,0
2864,3
2865,1
2866,2
2867,4
2868,0
2869,4
2870,2
2871,2
2872,0
2873,4
2874,1
2875,0
2876,1
2877,4
2878,2
2879,2
2880,1
2881,5
2882,1
2883,1
2884,2
2885,0
2886,1
2887,0
2888,1
2889,2
2890,1
2891,2
2892,2
2893,6
2894,7
2895,2
2896,0
2897,1
2898,2
2899,2
2900,1
2901,3
2902,4
2903,0
2904,1
2905,1
2906,1
2907,3
2908,2
2909,3
2910,0
2911,2
2912,2
2913,2
2914,4
2915,0
2916,0
2917,0
2918,1
2919,1
2920,1
2921,3
2922,0
2923,2
2924,1
2925,1
2926,2
2927,2
2928,0
2929,0
2930,2
2931,2
2932,2
2933,1
2934,0
2935,2
2936,1
2937,1
2938,0
2939,2
2940,0
2941,1
2942,3
2943,1
2944,1
2945,3
2946,0
2947,2
2948,3
2949,2
2950,1
2951,2
2952,2
2953,1
2954,0
2955,2
2956,1
2957,4
2958,0
2959,0
2960,1
2961,2
2962,0
2963,1
2964,0
2965,2
2966,2
2967,2
